Service,Voyage,Booking Number,Cntr Number,VGM Y/N
CENTRAL EXPRESS,GTB0524,S3-26681637,GCNU4788059,N
CENTRAL EXPRESS,GTB0524,S3-26681637,GCNU4751050,N
CENTRAL EXPRESS,GTB0524,S3-26681637,GCNU4770091,N
CENTRAL EXPRESS,GTB0524,S3-26681637,ACLU9678765,N
CENTRAL EXPRESS,GTB0524,S3-26681637,ACLU9787323,N
CENTRAL EXPRESS,GTB0524,S3-26681637,GCNU4812237,N
CENTRAL EXPRESS,GTB0524,S3-26681637,ACLU9714991,N
CENTRAL EXPRESS,GTB0524,S3-26681637,ACLU9684109,N
CENTRAL EXPRESS,GTB0524,S3-26681672,ACLU9792567,N
CENTRAL EXPRESS,GTB0524,S3-26681672,GCNU4761931,N
CENTRAL EXPRESS,GTB0524,S3-26681672,GCNU4741350,N
CENTRAL EXPRESS,GTB0524,S3-26681672,GCNU4805789,N
CENTRAL EXPRESS,GTB0524,S3-26681672,ACLU9686523,N
CENTRAL EXPRESS,GTB0524,S3-26681672,ACLU9705747,N
CENTRAL EXPRESS,GTB0524,S3-26681672,ACLU9774429,N
CENTRAL EXPRESS,GTB0524,S3-26681672,ACLU9784068,N
CENTRAL EXPRESS,GTB0524,S3-26681672,GCNU4811333,N
CENTRAL EXPRESS,GTB0524,S3-26681672,GCNU4802917,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9699032,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9724686,N
CENTRAL EXPRESS,GTB0524,S3-26681790,GCNU4797359,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9754356,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9742674,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9722404,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9709296,N
CENTRAL EXPRESS,GTB0524,S3-26681790,GCNU4822873,N
CENTRAL EXPRESS,GTB0524,S3-26681790,ACLU9700745,N
CENTRAL EXPRESS,GTB0524,S3-26681790,GCNU4809439,N
CENTRAL EXPRESS,GTB0524,S3-26753551,GCNU4756719,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9788206,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9688779,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9684285,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9702882,N
CENTRAL EXPRESS,GTB0524,S3-26753551,GCNU4770553,N
CENTRAL EXPRESS,GTB0524,S3-26753551,GCNU4774610,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9802454,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9671312,N
CENTRAL EXPRESS,GTB0524,S3-26753551,ACLU9694489,N
CENTRAL EXPRESS,GTB0524,S3-26753617,GCNU4808854,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9679930,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9757782,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9717162,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9685569,N
CENTRAL EXPRESS,GTB0524,S3-26753617,GCNU4786523,N
CENTRAL EXPRESS,GTB0524,S3-26753617,GCNU4803528,N
CENTRAL EXPRESS,GTB0524,S3-26753617,GCNU4736369,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9808730,N
CENTRAL EXPRESS,GTB0524,S3-26753617,ACLU9803213,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9767461,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9820360,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9772832,N
CENTRAL EXPRESS,GTB0524,S3-26753633,GCNU4726972,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9792438,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9771986,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9767760,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9764760,N
CENTRAL EXPRESS,GTB0524,S3-26753633,GCNU4819099,N
CENTRAL EXPRESS,GTB0524,S3-26753633,ACLU9757550,N
CENTRAL EXPRESS,GTB0524,S3-26753919,ACLU9760446,N
CENTRAL EXPRESS,GTB0524,S3-26753919,GCNU4743624,N
CENTRAL EXPRESS,GTB0524,S3-26753919,ACLU9712176,N
CENTRAL EXPRESS,GTB0524,S3-26753919,GCNU4776551,N
CENTRAL EXPRESS,GTB0524,S3-26753938,ACLU9692845,Y
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9763126,N
CENTRAL EXPRESS,GTB0524,S3-26756001,GCNU4823437,N
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9757416,N
CENTRAL EXPRESS,GTB0524,S3-26756001,GCNU4760431,N
CENTRAL EXPRESS,GTB0524,S3-26756001,GCNU4814245,N
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9709640,N
CENTRAL EXPRESS,GTB0524,S3-26756001,GCNU4806492,N
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9686755,N
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9826461,N
CENTRAL EXPRESS,GTB0524,S3-26756001,ACLU9679397,N
CENTRAL EXPRESS,GTB0524,S3-26761918,GCNU4757382,N
CENTRAL EXPRESS,GTB0524,S3-26761918,GCNU4778488,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9670954,N
CENTRAL EXPRESS,GTB0524,S3-26761918,GCNU4754104,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9671879,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9720633,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9762238,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9792274,N
CENTRAL EXPRESS,GTB0524,S3-26761918,GCNU4720486,N
CENTRAL EXPRESS,GTB0524,S3-26761918,ACLU9755012,N
CENTRAL EXPRESS,GTB0524,S3-26792672,GCNU1428320,N
CENTRAL EXPRESS,GTB0524,S3-26792672,GCNU1426225,N
CENTRAL EXPRESS,GTB0524,S3-26792672,GCNU1421706,N
CENTRAL EXPRESS,GTB0524,S3-26768165,GCNU1326308,N
CENTRAL EXPRESS,GTB0524,S3-26771121,GCNU1282386,N
CENTRAL EXPRESS,GTB0524,S3-26774112,GCNU1276260,N
CENTRAL EXPRESS,GTB0524,S3-26774124,ACLU2800866,N
CENTRAL EXPRESS,GTB0524,S3-26774769,GCNU1396630,N
CENTRAL EXPRESS,GTB0524,S3-26794842,GCNU1429287,N
CENTRAL EXPRESS,GTB0524,S3-26167195,GCNU1396985,N
CENTRAL EXPRESS,GTB0524,S3-26183865,GCNU1291367,N
CENTRAL EXPRESS,GTB0524,S3-26471894,GCNU1412880,N
CENTRAL EXPRESS,GTB0524,S3-26697993,GCNU1436394,N
CENTRAL EXPRESS,GTB0524,S3-26784643,GCNU1334535,N
CENTRAL EXPRESS,GTB0524,S3-26787337,GCNU1280892,N
CENTRAL EXPRESS,GTB0524,S3-26792303,ACLU9697739,N
CENTRAL EXPRESS,GTB0524,S3-26794836,GCNU4742021,N
